#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         605     2.78641     2.81529  0.00497214
         606     2.78258     2.81523  0.00496423
         607     2.77864     2.81517  0.00495642
         608      2.7746     2.81511  0.00494871
         609     2.77047     2.81503  0.00494113
         610     2.76626     2.81495  0.00493368
         611     2.76197     2.81487  0.00492636
         612     2.75762     2.81477   0.0049192
         613     2.75321     2.81467   0.0049122
         614     2.74875     2.81457  0.00490538
         615     2.74426     2.81445  0.00489873
         616     2.73976     2.81433  0.00489228
         617     2.73524      2.8142  0.00488603
         618     2.73072     2.81407  0.00487999
         619     2.72622     2.81393  0.00487417
         620     2.72174     2.81378  0.00486858
         621     2.71731     2.81362  0.00486321
         622     2.71292     2.81346  0.00485809
         623      2.7086     2.81329  0.00485321
         624     2.70434     2.81312  0.00484857
         625     2.70017     2.81294  0.00484418
         626     2.69608     2.81275  0.00484003
         627     2.69209     2.81256  0.00483614
         628      2.6882     2.81236  0.00483249
         629     2.68442     2.81216  0.00482909
         630     2.68075     2.81195  0.00482592
         631      2.6772     2.81173    0.004823
         632     2.67378     2.81152   0.0048203
         633     2.67048     2.81129  0.00481783
         634     2.66733     2.81107  0.00481558
         635     2.66433     2.81083  0.00481354
         636     2.66148      2.8106   0.0048117
         637      2.6588     2.81036  0.00481004
         638      2.6563     2.81012  0.00480856
         639     2.65401     2.80988  0.00480724
         640     2.65192     2.80963  0.00480606
         641     2.65007     2.80938    0.004805
         642     2.64847     2.80913  0.00480405
         643     2.64714     2.80888  0.00480318
         644      2.6461     2.80862  0.00480236
         645     2.64536     2.80837  0.00480159
         646     2.64492     2.80812  0.00480081
         647     2.64481     2.80787  0.00480002
         648     2.64503     2.80761  0.00479919
         649     2.64557     2.80736  0.00479829
         650     2.64643     2.80712  0.00479729
         651     2.64759     2.80687  0.00479617
         652     2.64904     2.80663  0.00479492
         653     2.65076     2.80639  0.00479352
         654     2.65271     2.80616  0.00479194
         655     2.65487     2.80593  0.00479019
         656     2.65719      2.8057  0.00478825
         657     2.65965     2.80548  0.00478612
         658      2.6622     2.80526   0.0047838
         659     2.66481     2.80505  0.00478128
         660     2.66744     2.80484  0.00477858
         661     2.67005     2.80463   0.0047757
         662     2.67262     2.80443  0.00477265
         663     2.67512     2.80424  0.00476944
         664     2.67752     2.80405  0.00476607
         665      2.6798     2.80386  0.00476256
         666     2.68195     2.80368  0.00475893
         667     2.68394      2.8035  0.00475518
         668     2.68578     2.80332  0.00475132
         669     2.68745     2.80315  0.00474738
         670     2.68896     2.80298  0.00474335
         671      2.6903     2.80281  0.00473925
         672     2.69147     2.80265   0.0047351
         673     2.69248     2.80248  0.00473089
         674     2.69334     2.80232  0.00472664
         675     2.69405     2.80216  0.00472236
         676     2.69462       2.802  0.00471805
         677     2.69505     2.80184  0.00471373
         678     2.69537     2.80168  0.00470939
         679     2.69558     2.80153  0.00470505
         680     2.69569     2.80137   0.0047007
         681     2.69572     2.80122  0.00469636
         682     2.69566     2.80106  0.00469202
         683     2.69555     2.80091  0.00468769
         684     2.69538     2.80075  0.00468338
         685     2.69516      2.8006  0.00467908
         686     2.69492     2.80045  0.00467479
         687     2.69466     2.80029  0.00467052
         688     2.69439     2.80014  0.00466627
         689     2.69412     2.79998  0.00466203
         690     2.69387     2.79983  0.00465781
         691     2.69363     2.79968  0.00465361
         692     2.69343     2.79952  0.00464941
         693     2.69327     2.79937  0.00464523
         694     2.69315     2.79922  0.00464106
         695     2.69308     2.79906  0.00463689
         696     2.69307     2.79891  0.00463273
         697     2.69313     2.79876  0.00462857
         698     2.69324     2.79861  0.00462441
         699     2.69343     2.79846  0.00462024
         700     2.69367     2.79831  0.00461606
         701     2.69398     2.79816  0.00461188
         702     2.69436     2.79801  0.00460768
         703     2.69479     2.79787  0.00460346
         704     2.69527     2.79772  0.00459923
         705      2.6958     2.79758  0.00459498
         706     2.69637     2.79743   0.0045907
         707     2.69698     2.79729  0.00458641
         708     2.69761     2.79715  0.00458209
         709     2.69826     2.79701  0.00457775
         710     2.69893     2.79687  0.00457339
         711     2.69959     2.79673    0.004569
         712     2.70025      2.7966  0.00456459
         713      2.7009     2.79646  0.00456016
         714     2.70153     2.79633  0.00455571
         715     2.70214      2.7962  0.00455125
         716     2.70271     2.79607  0.00454676
         717     2.70324     2.79594  0.00454226
         718     2.70373     2.79581  0.00453775
         719     2.70417     2.79568  0.00453323
         720     2.70456     2.79556   0.0045287
         721     2.70489     2.79543  0.00452417
         722     2.70515     2.79531  0.00451963
         723     2.70536     2.79518  0.00451509
         724      2.7055     2.79506  0.00451055
         725     2.70556     2.79493  0.00450602
         726     2.70556     2.79481  0.00450149
